image_id,image_path,device,set_code,set_number,variant,angle,distance_cm,corner_tl_x,corner_tl_y,corner_tr_x,corner_tr_y,corner_br_x,corner_br_y,corner_bl_x,corner_bl_y
ph_0001,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_topdown_01.jpg,phone,BLK,015,revholo,topdown,10,635,856,2402,850,2405,3363,611,3360
ph_0002,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_yawtop_02.jpg,phone,BLK,015,revholo,yawtop,7,124,23,2792,30,2472,3373,362,3309
ph_0003,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_yawbottom_03.jpg,phone,BLK,015,revholo,yawbottom,7,537,756,2402,752,2775,3766,73,3746
ph_0004,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_tiltleft_04.jpg,phone,BLK,015,revholo,tiltleft,7,1071,278,2903,688,2876,3336,950,3598
ph_0005,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_tiltright_05.jpg,phone,BLK,015,revholo,tiltright,7,467,648,2016,50,1992,3591,336,3101
ph_0006,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_zoomedin_06.jpg,phone,BLK,015,revholo,zoomedin,7,168,53,2903,53,2919,3927,151,3931
ph_0007,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_015_revholo__phone_zoomedout_07.jpg,phone,BLK,015,revholo,zoomedout,20,1058,1260,2005,1260,2009,2630,1034,2607
ph_0008,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_topdown_01.jpg,phone,BLK,054,revholo,topdown,10,685,661,2412,661,2439,3094,705,3101
ph_0009,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_yawtop_02.jpg,phone,BLK,054,revholo,yawtop,7,194,782,2674,712,2486,3521,611,3571
ph_0010,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_yawbottom_03.jpg,phone,BLK,054,revholo,yawbottom,7,564,698,2355,745,2866,3581,3,3491
ph_0011,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_tiltleft_04.jpg,phone,BLK,054,revholo,tiltleft,7,1102,712,2593,1051,2620,3239,1001,3413
ph_0012,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_tiltright_05.jpg,phone,BLK,054,revholo,tiltright,7,456,850,2083,282,2116,3847,315,3329
ph_0013,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_zoomedin_06.jpg,phone,BLK,054,revholo,zoomedin,7,255,16,2919,30,2963,3830,245,3833
ph_0014,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_054_revholo__phone_zoomedout_07.jpg,phone,BLK,054,revholo,zoomedout,20,1085,1344,1985,1340,2012,2610,1071,2610
ph_0015,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_topdown_01.jpg,phone,BLK,026,regholo,topdown,10,584,547,2405,520,2425,3077,584,3094
ph_0016,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_yawtop_02.jpg,phone,BLK,026,regholo,yawtop,7,352,0,2731,0,2496,2929,571,2950
ph_0017,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_yawbottom_03.jpg,phone,BLK,026,regholo,yawbottom,7,540,564,2610,581,3020,3759,60,3884
ph_0018,c:\Users\slamd\Downloads\PokemonCardScanner\data/raw/phone/BLK_026_regholo__phone_tiltleft_04.jpg,phone,BLK,026,regholo,tiltleft,7,1115,336,2866,655,2889,3121,1075,3356
