image_id,image_path,device,set_code,set_number,variant,angle,distance_cm,corner_tl_x,corner_tl_y,corner_tr_x,corner_tr_y,corner_br_x,corner_br_y,corner_bl_x,corner_bl_y
ph_0001,data/raw/phone/BLK_015_revholo__phone_topdown_01.jpg,phone,BLK,015,revholo,topdown,10,,,,,,,,
ph_0002,data/raw/phone/BLK_015_revholo__phone_yawtop_02.jpg,phone,BLK,015,revholo,yawtop,7,,,,,,,,
ph_0003,data/raw/phone/BLK_015_revholo__phone_yawbottom_03.jpg,phone,BLK,015,revholo,yawbottom,7,,,,,,,,
ph_0004,data/raw/phone/BLK_015_revholo__phone_tiltleft_04.jpg,phone,BLK,015,revholo,tiltleft,7,,,,,,,,
ph_0005,data/raw/phone/BLK_015_revholo__phone_tiltright_05.jpg,phone,BLK,015,revholo,tiltright,7,,,,,,,,
ph_0006,data/raw/phone/BLK_015_revholo__phone_zoomedin_06.jpg,phone,BLK,015,revholo,zoomedin,7,,,,,,,,
ph_0007,data/raw/phone/BLK_015_revholo__phone_zoomedout_07.jpg,phone,BLK,015,revholo,zoomedout,20,,,,,,,,
ph_0008,data/raw/phone/BLK_054_revholo__phone_topdown_01.jpg,phone,BLK,054,revholo,topdown,10,,,,,,,,
ph_0009,data/raw/phone/BLK_054_revholo__phone_yawtop_02.jpg,phone,BLK,054,revholo,yawtop,7,,,,,,,,
ph_0010,data/raw/phone/BLK_054_revholo__phone_yawbottom_03.jpg,phone,BLK,054,revholo,yawbottom,7,,,,,,,,
ph_0011,data/raw/phone/BLK_054_revholo__phone_tiltleft_04.jpg,phone,BLK,054,revholo,tiltleft,7,,,,,,,,
ph_0012,data/raw/phone/BLK_054_revholo__phone_tiltright_05.jpg,phone,BLK,054,revholo,tiltright,7,,,,,,,,
ph_0013,data/raw/phone/BLK_054_revholo__phone_zoomedin_06.jpg,phone,BLK,054,revholo,zoomedin,7,,,,,,,,
ph_0014,data/raw/phone/BLK_054_revholo__phone_zoomedout_07.jpg,phone,BLK,054,revholo,zoomedout,20,,,,,,,,
ph_0015,data/raw/phone/BLK_026_regholo__phone_topdown_01.jpg,phone,BLK,026,regholo,topdown,10,,,,,,,,
ph_0016,data/raw/phone/BLK_026_regholo__phone_yawtop_02.jpg,phone,BLK,026,regholo,yawtop,7,,,,,,,,
ph_0017,data/raw/phone/BLK_026_regholo__phone_yawbottom_03.jpg,phone,BLK,026,regholo,yawbottom,7,,,,,,,,
ph_0018,data/raw/phone/BLK_026_regholo__phone_tiltleft_04.jpg,phone,BLK,026,regholo,tiltleft,7,,,,,,,,
ph_0019,data/raw/phone/BLK_026_regholo__phone_tiltright_05.jpg,phone,BLK,026,regholo,tiltright,7,,,,,,,,
ph_0020,data/raw/phone/BLK_026_regholo__phone_zoomedin_06.jpg,phone,BLK,026,regholo,zoomedin,7,,,,,,,,
ph_0021,data/raw/phone/BLK_026_regholo__phone_zoomedout_07.jpg,phone,BLK,026,regholo,zoomedout,20,,,,,,,,
ph_0022,data/raw/phone/BLK_046_ex__phone_topdown_01.jpg,phone,BLK,046,ex,topdown,10,,,,,,,,
ph_0023,data/raw/phone/BLK_046_ex__phone_yawtop_02.jpg,phone,BLK,046,ex,yawtop,7,,,,,,,,
ph_0024,data/raw/phone/BLK_046_ex__phone_yawbottom_03.jpg,phone,BLK,046,ex,yawbottom,7,,,,,,,,
ph_0025,data/raw/phone/BLK_046_ex__phone_tiltleft_04.jpg,phone,BLK,046,ex,tiltleft,7,,,,,,,,
ph_0026,data/raw/phone/BLK_046_ex__phone_tiltright_05.jpg,phone,BLK,046,ex,tiltright,7,,,,,,,,
ph_0027,data/raw/phone/BLK_046_ex__phone_zoomedin_06.jpg,phone,BLK,046,ex,zoomedin,7,,,,,,,,
ph_0028,data/raw/phone/BLK_046_ex__phone_zoomedout_07.jpg,phone,BLK,046,ex,zoomedout,20,,,,,,,,
ph_0029,data/raw/phone/BLK_156_fullart__phone_topdown_01.jpg,phone,BLK,156,fullart,topdown,10,,,,,,,,
ph_0030,data/raw/phone/BLK_156_fullart__phone_yawtop_02.jpg,phone,BLK,156,fullart,yawtop,7,,,,,,,,
ph_0031,data/raw/phone/BLK_156_fullart__phone_yawbottom_03.jpg,phone,BLK,156,fullart,yawbottom,7,,,,,,,,
ph_0032,data/raw/phone/BLK_156_fullart__phone_tiltleft_04.jpg,phone,BLK,156,fullart,tiltleft,7,,,,,,,,
ph_0033,data/raw/phone/BLK_156_fullart__phone_tiltright_05.jpg,phone,BLK,156,fullart,tiltright,7,,,,,,,,
ph_0034,data/raw/phone/BLK_156_fullart__phone_zoomedin_06.jpg,phone,BLK,156,fullart,zoomedin,7,,,,,,,,
ph_0035,data/raw/phone/BLK_156_fullart__phone_zoomedout_07.jpg,phone,BLK,156,fullart,zoomedout,20,,,,,,,,
ph_0036,data/raw/phone/SHS_084_revholo__phone_topdown_01.jpg,phone,SHS,084,revholo,topdown,10,,,,,,,,
ph_0037,data/raw/phone/SHS_084_revholo__phone_yawtop_02.jpg,phone,SHS,084,revholo,yawtop,7,,,,,,,,
ph_0038,data/raw/phone/SHS_084_revholo__phone_yawbottom_03.jpg,phone,SHS,084,revholo,yawbottom,7,,,,,,,,
ph_0039,data/raw/phone/SHS_084_revholo__phone_tiltleft_04.jpg,phone,SHS,084,revholo,tiltleft,7,,,,,,,,
