filename,image_id,status,name,number,confidence_flag
BLK_015_revholo__phone_topdown_01.jpg,ph_0001,success,earrrsta,015/086,False
BLK_015_revholo__phone_yawtop_02.jpg,ph_0002,success,Larvesta,015/086,False
BLK_015_revholo__phone_yawbottom_03.jpg,ph_0003,success,Larvesta,015/088,False
BLK_015_revholo__phone_tiltleft_04.jpg,ph_0004,success,Larrrssa,015/086,False
BLK_015_revholo__phone_tiltright_05.jpg,ph_0005,success,Larvesta,,False
BLK_015_revholo__phone_zoomedin_06.jpg,ph_0006,success,Larvesta,015/083,False
BLK_015_revholo__phone_zoomedout_07.jpg,ph_0007,success,earrrssa,015/086,False
BLK_054_revholo__phone_topdown_01.jpg,ph_0008,success,Venipede,054/086,False
BLK_054_revholo__phone_yawtop_02.jpg,ph_0009,success,Venipede,001/0,False
BLK_054_revholo__phone_yawbottom_03.jpg,ph_0010,success,,,True
BLK_054_revholo__phone_tiltleft_04.jpg,ph_0011,success,Venipede,054/086,False
BLK_054_revholo__phone_tiltright_05.jpg,ph_0012,success,Venipede,,False
BLK_054_revholo__phone_zoomedin_06.jpg,ph_0013,success,Venipede,054/086,False
BLK_054_revholo__phone_zoomedout_07.jpg,ph_0014,success,Venipede,054/086,False
BLK_026_regholo__phone_topdown_01.jpg,ph_0015,success,Beartic,026/086,False
BLK_026_regholo__phone_yawtop_02.jpg,ph_0016,success,,026/086,True
BLK_026_regholo__phone_yawbottom_03.jpg,ph_0017,success,Beartic,,False
BLK_026_regholo__phone_tiltleft_04.jpg,ph_0018,success,Beartic,026/086,False
BLK_026_regholo__phone_tiltright_05.jpg,ph_0019,success,Beartic,,False
BLK_026_regholo__phone_zoomedin_06.jpg,ph_0020,success,Beartic,,False
BLK_026_regholo__phone_zoomedout_07.jpg,ph_0021,success,Beartic,026/086,False
BLK_046_normal__phone_topdown_01.jpg,ph_0022,success,Eevee EX,,False
BLK_046_normal__phone_yawtop_04.jpg,ph_0023,success,Excadrill EX,,False
BLK_046_normal__phone_yawbottom_05.jpg,ph_0024,success,Eeen EX,,False
BLK_046_normal__phone_tiltleft_02.jpg,ph_0025,success,Eerar EX,,False
BLK_046_normal__phone_tiltright_03.jpg,ph_0026,success,Eevee,,False
BLK_046_normal__phone_zoomedin_06.jpg,ph_0027,success,Eeeeee EX,,False
BLK_046_normal__phone_zoomedout_07.jpg,ph_0028,success,Eeen EX,940/960,False
BLK_156_fullart__phone_topdown_01.jpg,ph_0029,success,Serperior EX,156/086,False
BLK_156_fullart__phone_yawtop_02.jpg,ph_0030,success,Serperior r EX,,False
BLK_156_fullart__phone_yawbottom_03.jpg,ph_0031,success,Serperior EX,156/086,False
BLK_156_fullart__phone_tiltleft_04.jpg,ph_0032,success,ssrrrroor,156/086,False
BLK_156_fullart__phone_tiltright_05.jpg,ph_0033,success,eerrrrrr,,False
BLK_156_fullart__phone_zoomedin_06.jpg,ph_0034,success,,,True
BLK_156_fullart__phone_zoomedout_07.jpg,ph_0035,success,Serperior EX,,False
SHS_084_revholo__phone_topdown_01.jpg,ph_0036,success,Hnner,,False
SHS_084_revholo__phone_yawtop_02.jpg,ph_0037,success,Haunter,,False
SHS_084_revholo__phone_yawbottom_03.jpg,ph_0038,success,Haunter,,False
SHS_084_revholo__phone_tiltleft_04.jpg,ph_0039,success,Haunter,,False
SHS_084_revholo__phone_tiltright_05.jpg,ph_0040,success,Haunter,,False
SHS_084_revholo__phone_zoomedin_06.jpg,ph_0041,success,Evolves from Gasty,,False
SHS_084_revholo__phone_zoomedout_07.jpg,ph_0042,success,Haunter,,False
